,a,datetime,forecast,goals,h,id,isResult,xG
72,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-10-05 15:00:00,"{'w': '0.9902', 'd': '0.009', 'l': '0.0008'}","{'h': '2', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11715,True,"{'h': '3.74867', 'a': '0.0982107'}"
73,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-10-05 15:00:00,"{'w': '0.0918', 'd': '0.1263', 'l': '0.7819'}","{'h': '1', 'a': '5'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11717,True,"{'h': '1.84838', 'a': '3.67827'}"
74,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-10-05 15:00:00,"{'w': '0.7252', 'd': '0.212', 'l': '0.0628'}","{'h': '0', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11719,True,"{'h': '1.44318', 'a': '0.353724'}"
75,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-10-05 17:30:00,"{'w': '0.1412', 'd': '0.2336', 'l': '0.6252'}","{'h': '1', 'a': '2'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11720,True,"{'h': '1.23577', 'a': '2.0682'}"
76,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-10-06 14:00:00,"{'w': '0.4735', 'd': '0.2691', 'l': '0.2574'}","{'h': '0', 'a': '2'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11716,True,"{'h': '1.61884', 'a': '1.18825'}"
77,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-10-06 14:00:00,"{'w': '0.1721', 'd': '0.2325', 'l': '0.5954'}","{'h': '1', 'a': '4'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11718,True,"{'h': '1.27044', 'a': '2.15201'}"
78,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-10-06 14:00:00,"{'w': '0.5216', 'd': '0.3114', 'l': '0.167'}","{'h': '1', 'a': '0'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11722,True,"{'h': '1.24109', 'a': '0.683967'}"
79,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-10-06 16:30:00,"{'w': '0.2281', 'd': '0.346', 'l': '0.4259'}","{'h': '1', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11721,True,"{'h': '0.650296', 'a': '0.969204'}"
80,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-10-19 12:30:00,"{'w': '0.8303', 'd': '0.1277', 'l': '0.042'}","{'h': '2', 'a': '0'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11727,True,"{'h': '2.23324', 'a': '0.459112'}"
81,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-10-19 15:00:00,"{'w': '0.7539', 'd': '0.1481', 'l': '0.098'}","{'h': '2', 'a': '1'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11723,True,"{'h': '2.96692', 'a': '1.32184'}"
82,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-10-19 15:00:00,"{'w': '0.3837', 'd': '0.4302', 'l': '0.1861'}","{'h': '0', 'a': '0'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11724,True,"{'h': '0.675554', 'a': '0.402873'}"
83,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-10-19 15:00:00,"{'w': '0.8936', 'd': '0.0932', 'l': '0.0132'}","{'h': '1', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11725,True,"{'h': '2.30068', 'a': '0.197082'}"
84,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-10-19 15:00:00,"{'w': '0.1307', 'd': '0.2209', 'l': '0.6484'}","{'h': '2', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11728,True,"{'h': '0.8291', 'a': '1.79569'}"
85,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-10-19 15:00:00,"{'w': '0.3498', 'd': '0.3494', 'l': '0.3008'}","{'h': '1', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11731,True,"{'h': '0.891617', 'a': '0.846851'}"
86,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-10-19 15:00:00,"{'w': '0.2018', 'd': '0.3345', 'l': '0.4637'}","{'h': '1', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11732,True,"{'h': '0.887495', 'a': '1.37695'}"
87,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-10-19 17:30:00,"{'w': '0.007', 'd': '0.0293', 'l': '0.9637'}","{'h': '0', 'a': '2'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11726,True,"{'h': '0.616864', 'a': '4.02104'}"
88,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-10-20 16:30:00,"{'w': '0.2391', 'd': '0.3812', 'l': '0.3797'}","{'h': '1', 'a': '1'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11729,True,"{'h': '0.791862', 'a': '1.03212'}"
89,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-10-21 20:00:00,"{'w': '0.2926', 'd': '0.3964', 'l': '0.311'}","{'h': '1', 'a': '0'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11730,True,"{'h': '0.895722', 'a': '0.949735'}"
90,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-10-25 20:00:00,"{'w': '0.0032', 'd': '0.0132', 'l': '0.9836'}","{'h': '0', 'a': '9'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11740,True,"{'h': '0.457334', 'a': '4.38046'}"
91,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-10-26 12:30:00,"{'w': '0.8517', 'd': '0.1', 'l': '0.0483'}","{'h': '3', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11737,True,"{'h': '3.19004', 'a': '0.980145'}"
92,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-10-26 15:00:00,"{'w': '0.3737', 'd': '0.3492', 'l': '0.2771'}","{'h': '3', 'a': '2'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11734,True,"{'h': '1.15279', 'a': '1.04723'}"
93,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-10-26 15:00:00,"{'w': '0.2583', 'd': '0.3633', 'l': '0.3784'}","{'h': '0', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11741,True,"{'h': '0.674903', 'a': '0.899526'}"
94,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-10-26 15:00:00,"{'w': '0.7017', 'd': '0.1979', 'l': '0.1004'}","{'h': '1', 'a': '1'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11742,True,"{'h': '2.33891', 'a': '1.16171'}"
95,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-10-26 17:30:00,"{'w': '0.7194', 'd': '0.1734', 'l': '0.1072'}","{'h': '2', 'a': '4'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11735,True,"{'h': '2.23494', 'a': '0.988321'}"
96,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-10-27 14:00:00,"{'w': '0.0764', 'd': '0.1803', 'l': '0.7433'}","{'h': '1', 'a': '1'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11738,True,"{'h': '0.603104', 'a': '1.93255'}"
97,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-10-27 16:30:00,"{'w': '0.2675', 'd': '0.2977', 'l': '0.4348'}","{'h': '2', 'a': '2'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11733,True,"{'h': '1.54014', 'a': '1.77892'}"
98,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-10-27 16:30:00,"{'w': '0.5907', 'd': '0.2368', 'l': '0.1725'}","{'h': '2', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11736,True,"{'h': '2.18851', 'a': '1.35143'}"
99,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-10-27 16:30:00,"{'w': '0.0079', 'd': '0.0224', 'l': '0.9697'}","{'h': '1', 'a': '3'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11739,True,"{'h': '0.8924', 'a': '4.51232'}"
100,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-11-02 12:30:00,"{'w': '0.7315', 'd': '0.1875', 'l': '0.081'}","{'h': '1', 'a': '0'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11745,True,"{'h': '1.86862', 'a': '0.641129'}"
101,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-11-02 15:00:00,"{'w': '0.2334', 'd': '0.281', 'l': '0.4856'}","{'h': '1', 'a': '1'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11743,True,"{'h': '1.02552', 'a': '1.5103'}"
102,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-11-02 15:00:00,"{'w': '0.0731', 'd': '0.1563', 'l': '0.7706'}","{'h': '1', 'a': '2'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11744,True,"{'h': '0.741615', 'a': '2.38824'}"
103,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-11-02 15:00:00,"{'w': '0.8783', 'd': '0.094', 'l': '0.0277'}","{'h': '2', 'a': '0'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11746,True,"{'h': '2.65496', 'a': '0.455082'}"
104,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-11-02 15:00:00,"{'w': '0.9119', 'd': '0.074', 'l': '0.0141'}","{'h': '2', 'a': '1'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11749,True,"{'h': '3.36132', 'a': '0.893889'}"
105,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-11-02 15:00:00,"{'w': '0.83', 'd': '0.1251', 'l': '0.0449'}","{'h': '3', 'a': '0'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11750,True,"{'h': '2.58392', 'a': '0.716613'}"
106,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-11-02 15:00:00,"{'w': '0.271', 'd': '0.258', 'l': '0.471'}","{'h': '2', 'a': '3'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11752,True,"{'h': '1.53597', 'a': '1.93192'}"
107,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-11-02 17:30:00,"{'w': '0.2033', 'd': '0.2538', 'l': '0.5429'}","{'h': '1', 'a': '2'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11751,True,"{'h': '1.4744', 'a': '2.18313'}"
108,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-11-03 14:00:00,"{'w': '0.155', 'd': '0.3517', 'l': '0.4933'}","{'h': '0', 'a': '2'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11747,True,"{'h': '0.44291', 'a': '0.981167'}"
109,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-11-03 16:30:00,"{'w': '0.6632', 'd': '0.2752', 'l': '0.0616'}","{'h': '1', 'a': '1'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11748,True,"{'h': '1.15532', 'a': '0.243393'}"
110,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-11-08 20:00:00,"{'w': '0.1585', 'd': '0.28', 'l': '0.5615'}","{'h': '0', 'a': '2'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11757,True,"{'h': '0.62104', 'a': '1.36017'}"
111,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-11-09 12:30:00,"{'w': '0.9423', 'd': '0.0481', 'l': '0.0096'}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11754,True,"{'h': '3.28903', 'a': '0.479488'}"
112,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-11-09 15:00:00,"{'w': '0.8586', 'd': '0.1051', 'l': '0.0363'}","{'h': '3', 'a': '0'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11753,True,"{'h': '2.4158', 'a': '0.474281'}"
113,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-11-09 15:00:00,"{'w': '0.4754', 'd': '0.2446', 'l': '0.28'}","{'h': '2', 'a': '1'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11756,True,"{'h': '2.3306', 'a': '1.9213'}"
114,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-11-09 15:00:00,"{'w': '0.0761', 'd': '0.2071', 'l': '0.7168'}","{'h': '1', 'a': '2'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11758,True,"{'h': '0.742281', 'a': '2.08883'}"
115,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-11-09 15:00:00,"{'w': '0.5262', 'd': '0.2654', 'l': '0.2084'}","{'h': '1', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11759,True,"{'h': '1.5104', 'a': '0.923443'}"
116,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-11-09 17:30:00,"{'w': '0.4439', 'd': '0.3099', 'l': '0.2462'}","{'h': '2', 'a': '0'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11762,True,"{'h': '1.37055', 'a': '0.961339'}"
117,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-11-10 14:00:00,"{'w': '0.7939', 'd': '0.1511', 'l': '0.055'}","{'h': '2', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11760,True,"{'h': '2.09891', 'a': '0.473225'}"
118,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-11-10 14:00:00,"{'w': '0.8833', 'd': '0.0828', 'l': '0.0339'}","{'h': '3', 'a': '1'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11761,True,"{'h': '3.65299', 'a': '1.1342'}"
119,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-11-10 16:30:00,"{'w': '0.3127', 'd': '0.2881', 'l': '0.3992'}","{'h': '3', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11755,True,"{'h': '1.3319', 'a': '1.48104'}"
120,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-11-23 12:30:00,"{'w': '0.0614', 'd': '0.1533', 'l': '0.7853'}","{'h': '2', 'a': '3'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11772,True,"{'h': '0.661449', 'a': '2.20681'}"
121,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-11-23 15:00:00,"{'w': '0.1668', 'd': '0.2108', 'l': '0.6224'}","{'h': '2', 'a': '2'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11763,True,"{'h': '1.60823', 'a': '2.60312'}"
122,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-11-23 15:00:00,"{'w': '0.2059', 'd': '0.3272', 'l': '0.4669'}","{'h': '1', 'a': '2'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11765,True,"{'h': '0.849789', 'a': '1.2765'}"
123,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-11-23 15:00:00,"{'w': '0.017', 'd': '0.0549', 'l': '0.9281'}","{'h': '0', 'a': '2'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11766,True,"{'h': '0.784706', 'a': '3.50917'}"
124,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-11-23 15:00:00,"{'w': '0.1967', 'd': '0.2659', 'l': '0.5374'}","{'h': '1', 'a': '2'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11767,True,"{'h': '1.02306', 'a': '1.64291'}"
125,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-11-23 15:00:00,"{'w': '0.1424', 'd': '0.2108', 'l': '0.6468'}","{'h': '0', 'a': '2'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11768,True,"{'h': '0.812693', 'a': '1.80849'}"
126,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-11-23 15:00:00,"{'w': '0.0541', 'd': '0.1127', 'l': '0.8332'}","{'h': '0', 'a': '3'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11771,True,"{'h': '0.902384', 'a': '2.66281'}"
127,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-11-23 17:30:00,"{'w': '0.4647', 'd': '0.3041', 'l': '0.2312'}","{'h': '2', 'a': '1'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11769,True,"{'h': '1.23596', 'a': '0.820474'}"
128,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-11-24 16:30:00,"{'w': '0.4198', 'd': '0.3029', 'l': '0.2773'}","{'h': '3', 'a': '3'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11770,True,"{'h': '1.56025', 'a': '1.33065'}"
129,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-11-25 20:00:00,"{'w': '0.8515', 'd': '0.1083', 'l': '0.0402'}","{'h': '2', 'a': '0'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11764,True,"{'h': '2.6985', 'a': '0.69784'}"
130,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-11-30 12:30:00,"{'w': '0.0129', 'd': '0.0872', 'l': '0.8999'}","{'h': '2', 'a': '2'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11777,True,"{'h': '0.208252', 'a': '2.44389'}"
131,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-11-30 15:00:00,"{'w': '0.617', 'd': '0.2446', 'l': '0.1384'}","{'h': '0', 'a': '2'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11773,True,"{'h': '1.8509', 'a': '0.936732'}"
132,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-11-30 15:00:00,"{'w': '0.7651', 'd': '0.1557', 'l': '0.0792'}","{'h': '0', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11774,True,"{'h': '2.73185', 'a': '1.12034'}"
133,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-11-30 15:00:00,"{'w': '0.5044', 'd': '0.2797', 'l': '0.2159'}","{'h': '2', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11776,True,"{'h': '1.36832', 'a': '0.867601'}"
134,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-11-30 15:00:00,"{'w': '0.8068', 'd': '0.1241', 'l': '0.0691'}","{'h': '3', 'a': '2'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11779,True,"{'h': '2.93189', 'a': '1.02949'}"
135,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-11-30 17:30:00,"{'w': '0.826', 'd': '0.1455', 'l': '0.0285'}","{'h': '2', 'a': '1'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11778,True,"{'h': '1.9671', 'a': '0.504005'}"
136,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-12-01 14:00:00,"{'w': '0.3147', 'd': '0.2737', 'l': '0.4116'}","{'h': '1', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11780,True,"{'h': '1.27422', 'a': '1.47296'}"
137,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-12-01 14:00:00,"{'w': '0.1015', 'd': '0.191', 'l': '0.7075'}","{'h': '2', 'a': '2'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11781,True,"{'h': '0.810596', 'a': '1.96157'}"
138,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-12-01 16:30:00,"{'w': '0.6223', 'd': '0.2153', 'l': '0.1624'}","{'h': '2', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11775,True,"{'h': '2.24348', 'a': '1.24986'}"
139,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-12-01 16:30:00,"{'w': '0.5014', 'd': '0.2793', 'l': '0.2193'}","{'h': '2', 'a': '2'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11782,True,"{'h': '1.84804', 'a': '1.29701'}"
140,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-12-03 19:30:00,"{'w': '0.2392', 'd': '0.5482', 'l': '0.2126'}","{'h': '1', 'a': '0'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11791,True,"{'h': '0.383763', 'a': '0.342799'}"
141,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-12-03 20:15:00,"{'w': '0.025', 'd': '0.0891', 'l': '0.8859'}","{'h': '1', 'a': '4'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11784,True,"{'h': '0.486548', 'a': '2.56057'}"
142,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-12-04 19:30:00,"{'w': '0.9199', 'd': '0.0706', 'l': '0.0095'}","{'h': '2', 'a': '0'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11785,True,"{'h': '2.28735', 'a': '0.199733'}"
143,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-12-04 19:30:00,"{'w': '0.735', 'd': '0.1951', 'l': '0.0699'}","{'h': '2', 'a': '0'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11787,True,"{'h': '1.82237', 'a': '0.501977'}"
