,Teams,Creativity av,Matches,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
1,Man City,241.625,28,138.89999999999998,,220.8,281.79999999999995,201.39999999999998,,227.1,352.7,277.4,223.60000000000002,218.7,64.8,283.5,179.39999999999998,292.4,224.89999999999998,294.9,137.5,165.4,283.29999999999995,323.3,300.1,237.0,255.0,316.0,276.5,208.3,266.2,318.6,196.0,237.11666666666667,260.2,260.2,260.6666666666667,250.14999999999998,227.38333333333333,227.38333333333333,236.7833333333333,207.9,210.4,210.61666666666665,223.3166666666667,235.4333333333333,215.75,233.06666666666663,238.21666666666667,250.75,241.1,260.68333333333334,285.7833333333333,284.65000000000003,265.4833333333333,259.8333333333333,273.43333333333334,263.59999999999997
2,Chelsea,193.00689655172414,29,192.60000000000002,290.79999999999995,154.9,155.89999999999998,91.4,,258.6,254.3,217.79999999999998,156.6,146.1,167.70000000000002,166.0,194.2,205.39999999999998,280.90000000000003,194.0,136.20000000000002,219.70000000000002,200.2,185.8,205.2,151.39999999999998,228.1,175.60000000000002,161.60000000000002,151.90000000000003,270.1,176.6,207.59999999999997,190.69999999999996,200.98333333333332,188.81666666666663,189.1,187.46666666666667,200.18333333333337,200.18333333333337,184.75,174.73333333333335,172.66666666666666,193.38333333333333,201.36666666666667,196.11666666666667,205.0666666666667,206.0666666666667,202.79999999999998,190.18333333333337,183.08333333333334,198.4,191.05000000000004,184.61666666666667,178.96666666666667,189.7833333333334,193.98333333333335,190.5666666666667
3,Liverpool,190.05172413793105,29,221.3,115.5,316.7,203.8,157.8,161.9,155.3,195.60000000000002,187.39999999999998,248.5,147.5,219.70000000000002,,116.3,266.2,146.20000000000002,119.2,161.7,118.10000000000001,298.0,255.1,156.0,207.79999999999998,121.30000000000001,101.7,314.1,167.09999999999997,283.3,169.1,179.3,196.16666666666666,185.16666666666666,198.51666666666665,176.96666666666667,184.41666666666666,182.70000000000002,192.33333333333334,185.83333333333334,197.6,190.73333333333335,169.18333333333337,171.55000000000004,154.6166666666667,154.6166666666667,184.9,183.04999999999998,184.6833333333333,199.45000000000002,192.71666666666667,189.98333333333335,192.66666666666666,178.0,199.21666666666667,192.76666666666665,202.4333333333333
4,Man Utd,164.7034482758621,29,106.6,160.1,207.50000000000003,108.60000000000001,179.1,,278.4,87.0,171.39999999999998,137.6,130.0,252.7,210.10000000000002,246.5,118.89999999999999,112.2,172.3,139.79999999999998,200.5,198.6,188.7,92.80000000000001,176.79999999999998,158.4,126.1,91.40000000000002,238.59999999999997,232.29999999999998,115.8,137.59999999999997,173.38333333333335,170.11666666666667,172.0,160.35,163.91666666666666,176.1833333333333,176.1833333333333,164.8,191.38333333333335,182.63333333333333,178.39999999999998,185.45000000000002,166.63333333333333,165.03333333333333,157.04999999999998,168.6833333333333,165.45000000000002,166.19999999999996,169.29999999999998,156.9,139.03333333333333,147.35,170.6,160.4333333333333,156.96666666666667
5,Leicester,164.5655172413793,29,204.4,190.4,92.5,122.50000000000001,181.1,,211.9,205.9,87.39999999999999,196.7,140.2,44.199999999999996,76.6,206.8,278.49999999999994,136.3,197.1,169.8,233.1,175.6,258.29999999999995,226.6,54.1,198.20000000000002,145.0,82.0,185.3,138.4,124.29999999999998,175.89999999999998,167.13333333333335,167.38333333333333,150.21666666666667,167.58333333333334,170.53333333333333,147.71666666666667,147.71666666666667,125.16666666666669,125.31666666666665,157.16666666666666,147.1,156.58333333333331,177.51666666666665,203.6,198.4,195.0333333333333,210.08333333333334,186.24999999999997,190.98333333333335,176.30000000000004,160.70000000000002,148.53333333333333,133.83333333333334,145.53333333333333,141.81666666666666
6,Brighton,150.88965517241377,29,111.4,246.80000000000004,102.4,118.50000000000001,190.8,,186.60000000000002,124.10000000000001,86.59999999999998,160.1,197.8,111.69999999999999,136.3,166.5,123.19999999999999,210.8,164.09999999999997,119.99999999999999,97.69999999999999,221.4,86.39999999999999,228.4,180.80000000000004,115.09999999999998,216.6,155.10000000000002,73.0,163.10000000000002,204.8,75.7,159.41666666666669,161.53333333333333,134.83333333333334,144.45000000000002,157.66666666666666,144.48333333333335,144.48333333333335,136.1,143.16666666666666,149.26666666666665,157.71666666666667,152.1,153.48333333333332,147.04999999999998,156.2,150.06666666666663,152.99999999999997,155.78333333333333,154.96666666666667,174.78333333333333,163.73333333333335,161.50000000000003,150.61666666666667,154.61666666666667,148.05000000000004
7,Arsenal,149.6214285714286,28,153.3,,143.29999999999998,207.0,154.4,,40.2,130.2,58.5,134.1,98.5,193.79999999999998,87.59999999999998,69.19999999999999,123.19999999999999,158.10000000000002,162.0,171.39999999999998,103.39999999999999,161.20000000000002,173.7,163.7,157.00000000000003,128.7,226.90000000000003,100.90000000000002,263.1,92.5,209.70000000000005,128.5,138.0666666666667,122.26666666666665,122.26666666666665,120.73333333333333,102.64999999999999,109.21666666666665,109.21666666666665,117.11666666666666,106.95,117.73333333333335,121.73333333333333,132.31666666666666,128.58333333333331,131.21666666666667,146.55,154.96666666666667,155.9,155.0666666666667,147.95000000000002,168.53333333333333,158.48333333333332,173.38333333333335,161.51666666666668,170.30000000000004,170.26666666666668
8,Everton,146.54482758620688,29,48.2,124.5,205.0,149.0,131.4,,192.70000000000002,148.39999999999998,164.09999999999997,98.0,225.3,252.7,80.3,58.099999999999994,129.1,111.2,159.50000000000003,183.4,209.10000000000002,118.4,111.49999999999999,176.20000000000002,129.3,154.8,174.29999999999998,140.7,188.9,152.3,119.00000000000001,114.4,141.8,158.5,165.1,147.26666666666665,159.98333333333332,180.20000000000002,180.20000000000002,161.46666666666667,146.41666666666666,140.58333333333334,142.78333333333333,131.8166666666667,120.26666666666667,141.73333333333332,151.78333333333333,148.85,159.68333333333334,154.65,149.88333333333333,144.08333333333334,147.79999999999998,160.7,156.71666666666667,155.0,148.26666666666668
9,Aston Villa,143.9,28,46.0,,71.2,209.9,210.0,,199.9,88.0,83.69999999999999,119.8,149.7,160.3,221.0,113.6,203.00000000000003,123.29999999999998,103.4,226.7,105.7,70.69999999999999,83.60000000000002,238.5,192.3,181.20000000000005,148.89999999999998,125.4,107.30000000000001,96.79999999999998,258.5,89.9,137.5,143.78333333333333,143.78333333333333,151.88333333333333,141.85,133.56666666666663,133.56666666666663,137.08333333333334,141.35,161.23333333333332,161.81666666666666,154.1,165.16666666666666,145.95000000000002,138.80000000000004,118.89999999999999,138.1,152.91666666666666,145.33333333333334,152.53333333333333,161.65,165.6,141.98333333333335,153.01666666666665,137.79999999999998
10,Wolves,142.4241379310345,29,115.69999999999999,153.3,170.5,168.6,159.2,,144.7,83.6,90.30000000000001,182.8,93.0,292.2,175.59999999999997,187.99999999999997,132.9,187.3,141.1,191.2,167.49999999999997,212.60000000000002,193.20000000000002,44.3,65.4,102.1,152.5,116.8,61.900000000000006,161.9,80.59999999999998,101.5,152.0,146.65,136.15,138.19999999999996,125.60000000000001,147.76666666666668,147.76666666666668,152.91666666666666,170.31666666666663,177.41666666666666,178.16666666666666,186.1833333333333,169.35,168.0,172.1,182.14999999999998,158.31666666666666,145.7,130.85,128.35000000000002,112.38333333333333,90.5,110.10000000000001,112.63333333333333,112.53333333333335
11,Spurs,136.90689655172415,29,111.89999999999999,139.70000000000002,94.69999999999999,223.0,50.00000000000001,,169.3,185.3,156.8,113.60000000000001,185.1,123.50000000000001,70.7,121.8,165.8,95.5,180.9,161.3,206.2,75.89999999999999,86.0,171.4,99.3,105.80000000000001,145.20000000000002,137.9,105.7,191.6,45.199999999999996,251.2,131.4333333333333,143.66666666666666,146.51666666666665,149.66666666666669,143.35000000000002,155.6,155.6,139.16666666666669,128.58333333333334,130.08333333333334,127.06666666666668,126.36666666666666,132.66666666666666,155.25,147.6,134.29999999999998,146.95000000000002,133.35,124.09999999999998,113.93333333333334,124.26666666666667,127.55000000000001,130.91666666666669,121.90000000000002,146.13333333333333
12,West Ham,131.9896551724138,29,131.1,157.70000000000002,92.69999999999999,51.199999999999996,128.8,96.2,60.89999999999999,169.6,95.3,155.10000000000002,179.8,152.3,,156.5,111.1,106.3,101.5,147.5,101.5,218.5,177.4,102.39999999999999,127.80000000000001,188.5,86.4,173.70000000000002,206.29999999999998,196.3,100.69999999999999,54.6,109.61666666666667,97.91666666666667,99.89999999999999,100.33333333333331,117.64999999999999,126.15000000000002,135.5,151.4333333333333,141.68333333333334,143.51666666666668,134.58333333333334,129.2,120.73333333333335,120.73333333333335,131.06666666666666,142.11666666666665,141.46666666666667,145.85,152.6833333333333,150.16666666666666,142.70000000000002,147.51666666666668,163.16666666666666,158.65,136.33333333333334
13,Norwich,130.79310344827587,29,116.19999999999999,119.7,94.99999999999999,78.9,182.60000000000002,,156.10000000000002,179.7,80.4,156.1,71.7,176.3,140.2,124.80000000000001,193.89999999999998,134.8,146.5,127.70000000000002,147.0,105.9,86.2,141.09999999999997,174.39999999999998,134.7,123.3,81.9,93.89999999999999,82.3,215.8,125.9,124.75,135.33333333333334,128.78333333333333,138.96666666666667,137.76666666666668,136.7166666666667,136.7166666666667,134.0666666666667,124.91666666666667,143.83333333333331,140.28333333333333,152.75,144.65,145.78333333333333,142.63333333333333,124.68333333333334,125.73333333333335,130.38333333333333,131.54999999999998,127.59999999999998,123.59999999999997,124.88333333333331,115.08333333333331,121.9833333333333,120.51666666666667
14,Sheffield Utd,128.39285714285714,28,108.6,,202.7,167.7,110.69999999999999,,71.1,116.1,153.2,53.6,113.2,187.8,84.6,114.9,107.10000000000001,192.1,131.2,131.10000000000002,143.1,162.10000000000002,127.89999999999998,113.69999999999999,123.2,143.9,40.8,209.2,103.0,129.10000000000002,148.9,104.4,129.48333333333332,136.91666666666666,136.91666666666666,112.06666666666666,102.98333333333333,115.83333333333333,115.83333333333333,118.08333333333333,117.88333333333333,110.2,133.28333333333333,136.28333333333333,126.83333333333336,136.58333333333334,144.45000000000002,147.91666666666666,134.85,133.51666666666668,135.65,118.59999999999998,126.44999999999997,122.3,124.86666666666667,129.15,122.56666666666666
15,Southampton,126.8103448275862,29,89.19999999999999,129.8,236.10000000000002,129.9,167.2,,208.8,98.1,160.2,140.1,135.5,48.7,122.1,114.60000000000001,121.09999999999998,143.19999999999996,97.4,180.00000000000003,37.6,42.49999999999999,61.3,133.29999999999998,90.0,169.3,198.6,128.1,101.1,141.10000000000002,118.60000000000001,91.5,160.16666666666666,161.65,166.71666666666667,150.71666666666667,151.65,131.9,131.9,117.45,120.19999999999999,113.68333333333334,114.19999999999999,107.84999999999998,129.73333333333332,115.64999999999999,103.63333333333333,93.66666666666667,92.01666666666667,90.78333333333335,89.0,115.83333333333333,130.1,136.73333333333335,138.03333333333333,142.8,129.83333333333334
16,Watford,124.07241379310344,29,114.4,132.4,92.3,60.599999999999994,85.4,,101.9,162.8,202.3,110.1,181.0,53.300000000000004,98.89999999999999,88.6,158.40000000000003,80.4,77.2,165.7,118.19999999999999,158.3,57.1,58.3,107.7,166.70000000000002,49.20000000000001,300.00000000000006,126.79999999999998,281.99999999999994,113.89999999999999,94.19999999999999,97.83333333333333,105.89999999999998,117.55,120.51666666666667,140.58333333333334,135.23333333333332,135.23333333333332,134.73333333333332,122.36666666666666,115.05,110.10000000000001,92.80000000000001,111.53333333333335,114.75,126.36666666666667,109.48333333333333,105.8,110.88333333333334,111.05000000000001,99.55000000000001,123.16666666666669,134.78333333333333,172.0666666666667,173.10000000000002,161.01666666666665
17,Newcastle,115.91034482758621,29,139.6,176.3,100.39999999999999,124.4,152.5,,59.7,99.3,82.4,56.099999999999994,193.5,93.99999999999999,98.6,95.1,105.3,70.5,51.5,126.7,127.10000000000001,105.0,156.09999999999997,80.30000000000001,134.5,43.599999999999994,151.59999999999997,86.0,152.9,117.3,137.9,93.5,125.48333333333333,118.76666666666667,103.11666666666666,95.73333333333333,107.25,97.5,97.5,103.98333333333333,103.28333333333335,107.09999999999998,109.5,85.83333333333333,91.28333333333335,96.03333333333332,97.68333333333334,106.14999999999999,107.78333333333335,121.61666666666667,107.76666666666667,111.84999999999998,108.68333333333332,108.14999999999999,114.31666666666665,114.88333333333331,123.2
18,Burnley,114.33103448275861,29,146.10000000000002,102.80000000000001,145.2,93.7,222.99999999999997,,65.7,71.4,40.3,248.39999999999998,102.1,81.0,30.500000000000004,93.9,88.5,43.8,145.20000000000002,77.59999999999998,161.00000000000003,66.1,146.3,124.6,116.89999999999999,121.80000000000001,184.9,82.89999999999999,92.39999999999999,131.7,182.60000000000005,105.19999999999999,129.41666666666666,116.96666666666665,106.55,123.75,125.14999999999999,101.48333333333333,101.48333333333333,95.61666666666666,99.36666666666666,107.39999999999999,73.3,80.48333333333333,79.91666666666666,101.66666666666667,97.03333333333335,106.66666666666667,120.13333333333334,115.41666666666667,122.78333333333335,126.76666666666667,129.56666666666666,120.58333333333333,121.76666666666665,132.71666666666667,129.95000000000002
19,Bournemouth,111.2103448275862,29,95.30000000000001,130.8,151.1,124.30000000000001,116.80000000000001,,112.9,85.4,108.2,74.10000000000001,98.20000000000002,108.6,59.6,105.8,43.2,112.5,186.79999999999998,89.39999999999999,132.79999999999998,114.10000000000001,148.89999999999998,111.7,113.99999999999999,174.5,57.89999999999999,118.10000000000001,119.5,79.3,137.70000000000002,113.6,121.86666666666667,120.21666666666665,116.45,103.61666666666667,99.26666666666667,97.90000000000002,97.90000000000002,89.0166666666667,92.41666666666667,81.58333333333333,87.98333333333335,102.75,99.55,111.74999999999999,113.13333333333333,130.74999999999997,130.61666666666667,118.48333333333333,132.66666666666666,120.18333333333334,120.84999999999998,115.94999999999999,110.55,114.5,104.35000000000001
20,Crystal Palace,110.9448275862069,29,149.4,130.5,185.3,92.89999999999999,156.0,,68.3,62.300000000000004,58.1,143.89999999999998,60.49999999999999,140.9,180.4,124.5,38.2,73.39999999999999,83.5,171.8,56.8,75.5,124.4,74.80000000000001,96.1,182.5,110.10000000000001,120.19999999999997,229.50000000000003,30.000000000000007,79.1,69.7,130.4,115.88333333333333,103.81666666666666,96.91666666666667,91.51666666666667,89.0,89.0,107.68333333333332,118.05,114.73333333333333,102.98333333333333,106.81666666666666,111.96666666666665,91.36666666666666,83.2,97.56666666666666,97.8,99.89999999999999,101.68333333333334,110.56666666666668,118.01666666666665,135.53333333333333,128.0666666666667,125.23333333333335,106.43333333333334
