,Teams,Creativity av adj,Matches,Creativity GW29 adj,Creativity GW28 adj,Creativity GW27 adj,Creativity GW26 adj,Creativity GW25 adj,Creativity GW24 adj*,Creativity GW24 adj,Creativity GW23 adj,Creativity GW22 adj,Creativity GW21 adj,Creativity GW20 adj,Creativity GW19 adj,Creativity GW18 adj,Creativity GW17 adj,Creativity GW16 adj,Creativity GW15 adj,Creativity GW14 adj,Creativity GW13 adj,Creativity GW12 adj,Creativity GW11 adj,Creativity GW10 adj,Creativity GW9 adj,Creativity GW8 adj,Creativity GW7 adj,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj,Creativity GW29 adj 6 - average,Creativity GW28 adj 6 - average,Creativity GW27 adj 6 - average,Creativity GW26 adj 6 - average,Creativity GW25 adj 6 - average,Creativity GW24 adj* 6 - average,Creativity GW24 adj 6 - average,Creativity GW23 adj 6 - average,Creativity GW22 adj 6 - average,Creativity GW21 adj 6 - average,Creativity GW20 adj 6 - average,Creativity GW19 adj 6 - average,Creativity GW18 adj 6 - average,Creativity GW17 adj 6 - average,Creativity GW16 adj 6 - average,Creativity GW15 adj 6 - average,Creativity GW14 adj 6 - average,Creativity GW13 adj 6 - average,Creativity GW12 adj 6 - average,Creativity GW11 adj 6 - average,Creativity GW10 adj 6 - average,Creativity GW9 adj 6 - average,Creativity GW8 adj 6 - average,Creativity GW7 adj 6 - average,Creativity GW6 adj 6 - average
1,Man City,240.5895725697891,28,167.38682588739283,,267.59022156573116,247.50071677074033,177.07615690301833,,268.1109097332853,322.8462534864261,189.79303926775628,257.3013756428237,258.1939936533223,75.87931255946715,343.57711872230425,160.1003934504771,352.36794736842097,220.06259366925056,242.76421969063537,193.94936425501427,257.9122751029458,271.32795695525283,221.19715066786452,274.6984992097434,277.52155982397716,293.43403751753146,305.0795940380466,214.01741253930808,208.84249210794292,215.7112810699588,280.1214676727987,172.1438626226583,241.751847391099,245.48621628782624,245.48621628782624,243.77140863400837,245.553621447772,228.6874807238468,228.6874807238468,241.26518222201662,214.1408722160251,241.2366902328026,235.0302265705404,232.45859757675927,252.13693952601707,237.85946558945736,256.3973928402533,234.53559339016056,243.64157764690935,249.434467669133,266.0152465462192,273.876466368736,264.3247089660785,262.26559920609157,252.4343961827942,252.86771415759776,232.65268500845227
2,Chelsea,191.2012624074568,29,221.62900245441793,235.6455316872427,136.19213855152702,187.87333445532428,110.76877831117675,,230.7801658098851,209.341950041806,213.11530858676198,157.00784572301419,130.3827618902715,160.61312524319064,145.9515493838185,157.36713292181065,236.3582404160822,192.1876882851938,170.38729259589647,214.78551140653957,201.1038329769431,193.2814390076485,181.80360117272906,168.92240719063543,145.00195087548633,228.69405880855388,273.8173851757998,189.2298905803996,179.33089911266424,209.06366411163515,214.0237007631708,250.17642227662168,187.14815854492898,185.10031647616032,181.34527929274688,184.81456382132808,175.2328017271526,183.5401928824882,183.5401928824882,169.40209014481044,160.73962062481124,164.61344259636462,170.4767496900612,177.144171474332,186.17290250155688,195.36494976707763,201.3506674480506,192.25822757415838,188.38068072506533,184.14979043833034,186.46788167199938,198.5868070384755,197.91154896726735,197.49943195725655,204.18964144408983,215.69326642537058,219.2736603367152
3,Liverpool,186.72549834852816,29,179.32722201646087,111.50852250441261,278.1528637377341,157.74592649371067,151.13149173151749,142.1943436663693,181.85273519267363,235.7153574051407,164.76699008751558,293.3754340322387,172.71911423644147,266.2571181068439,,112.28087590704057,215.7112810699588,168.23551484338472,119.51044195519344,148.01315335626623,186.24206238702146,203.88725919895958,224.29060390248256,187.99384332925334,251.83536250615455,143.20499053565615,143.4520025071633,258.569825041806,163.50582215265348,252.82297360379135,161.95396230544742,138.7823582940251,170.01006169170083,170.43098055440296,191.13211970452434,172.23447409615457,194.83939201924258,198.43732910339656,219.11445817680905,207.51914829587017,204.18513557333983,204.76322303265135,175.78572435314382,171.66806420644795,158.33222158647754,158.33222158647754,173.5999521351307,175.02983927388468,178.32289402152944,200.37704744668963,199.57568697658795,192.44401032994492,201.55777130375267,191.42697434544777,202.23182939120412,187.25159602441963,186.51449065081442
4,Man Utd,169.03107223085127,29,168.10672184975857,184.23054669237956,200.32916380662874,153.18473424068765,209.7219888796384,,272.411854502087,135.66123297434268,132.6675750786163,122.79718026078959,127.20381136950903,208.02481626254178,202.83931236516963,283.65290293361375,187.50365129396144,98.6491797642436,117.88515020127763,165.045817616527,201.02217795315678,160.93260864197526,146.05817629716975,144.70531517263223,145.54328260869562,141.35954471881593,110.7517401873327,110.76877831117676,228.5169450389104,212.6373254462625,135.59914188867742,194.0904183381088,197.99750166186334,192.58992018262734,183.99609158033346,171.07409432269358,166.7439405108305,166.46107840798106,166.46107840798106,154.86565471849482,179.53093304504,188.67027908093087,184.64561233150653,183.0925021368013,175.92933569579884,175.62647996046337,155.17309757852362,148.26551841239169,155.94154098045644,160.55122971502612,156.6035175654076,141.5584446044369,133.1978062159705,146.94093433959395,158.26293605186564,156.60557926519596,165.39405820174477
5,Leicester,160.82254413523953,29,139.84750261834677,147.3740157232704,145.8712173649406,143.44468809467173,255.44894448424066,,186.10859433541478,201.47126739216853,83.70654231517507,161.92513398829428,123.13555887600353,68.92214364903387,120.79713783950756,160.06799606918236,190.54564324466517,131.58971097273974,226.80725017531552,170.24222352342156,208.0234209214393,160.73660933432498,247.38443798638122,221.7260281256211,84.35945636680393,163.15994690635452,127.48779916056435,98.817276621787,150.1551479423868,163.39299826986655,175.3302252865329,205.97486233349184,169.6824937701475,179.95312123245108,169.34187566443524,172.01752843499415,168.63267356521615,137.54487342601502,137.54487342601502,126.65963067669713,119.75908545619943,137.56560227778112,132.50969844185536,149.78831365840736,166.67499363747197,181.2127074844606,181.32414302865106,190.7972754856037,205.81999501108393,182.07869604299867,180.8983166068208,167.47571298000835,157.15582419458534,140.9509425205863,131.22877087796053,146.39056569791538,153.52638493577157
6,Brighton,149.89003908598045,29,130.44684288772595,225.90999535143177,120.89192935573939,114.40484776426749,167.57678055307758,,151.20858395061725,84.90741230399624,99.65250058438518,225.8275870343839,160.28434032921808,98.20956666368991,160.9137692498758,152.40686477314986,144.26437202664127,188.12242441115148,255.8851532309153,145.42946824224515,117.73716982864133,171.3687346698113,99.42235624123418,156.2679530236321,158.9640971602072,162.35324964183374,178.30698536789296,151.76393187239117,115.11998775827745,156.20751775291828,179.8727707404103,73.0839407236713,151.73982997714324,144.14992487985495,123.1070090853472,140.59628536512128,148.24286745927972,136.68166514438175,136.68166514438175,138.29919602759153,149.54910477245048,156.98441667949314,150.7002229089544,166.63369172590393,174.50367532232983,167.30757541879072,170.46788706823432,162.99421777066644,157.6851392060799,141.53162986096189,144.35226009422664,154.44722935076857,151.1797622178652,153.79603413737243,153.78596159225347,157.27074052228733,142.39252236926023
7,Everton,149.7848014484519,29,67.98806805157592,150.03354804161563,182.9463804757403,136.3881252324284,126.85904638164345,,158.63229954013377,130.33749598572697,164.5273785641547,154.54464110015329,185.4689002926421,247.26463948519176,71.66143586439973,70.01565575275394,182.10082127507158,173.39688628444722,193.30000153865092,141.9558533805031,200.263592655642,104.1003822111091,111.79038823828917,154.75381935771628,126.51886776982705,244.11745349289518,205.7760086592322,114.01418950617281,221.19756392721214,104.20144153020652,114.88756864090998,104.71678876905911,137.1412446205229,147.5328159428814,149.9484543633046,145.21483113404008,153.39496031074236,173.46255916133376,173.46255916133376,158.9674152153781,148.91377517654925,151.8426822950354,154.98472315908438,156.28990670008585,138.7384423493044,160.17213514784478,165.85292289090398,154.1345173847736,151.0273395636518,139.8971506021811,156.92408395424644,157.84281995484483,159.49512117068878,177.72965045217595,169.304254147591,167.36570429277148,144.13226017213213
8,Wolves,149.08224098579657,29,116.00132662932786,134.7853766297553,131.9709542059748,204.32840288035447,191.85012729498158,,225.6342576021539,80.06712743190658,74.33573766722407,176.48275250049028,145.0171800760215,460.7953482598448,135.91847248427666,165.29452580817997,133.24612194501015,164.50278300624439,166.58057843842604,154.93612674897116,114.60106012022054,189.72878287386533,159.04390384615382,42.42791561284045,103.1348931423472,98.57160301039417,139.5918731405727,164.75116905444122,71.22967420523608,158.41766969787315,97.13015238678086,123.00909188823238,167.42840754042464,161.4393743408544,151.3644345137659,158.7830675628518,148.89786376212965,193.7220672562735,193.7220672562735,178.76943640329398,192.97400279933956,202.79240017897055,200.79573859659627,204.38963832366366,153.41310140518473,149.8601993445087,153.9325755221229,158.23220583898024,137.88639460674622,127.31211372406642,117.9180264343036,122.0831619376956,117.92022630112494,103.28452136097197,122.61614704181075,121.61535691588303,125.68827172885608
9,Aston Villa,143.81790605688784,28,55.74796282619399,,68.19114202334629,184.54957961243076,170.1704320987654,,192.99180648166305,88.22918533604886,131.99373938860026,117.22320463128601,144.52663046675815,124.07591764937105,211.66070768482484,134.1144841290234,246.0181837764648,173.91968445558734,124.60617564259485,186.62139234949828,123.77227372740245,110.24424334811525,131.83604077523282,239.12114434826879,148.84465978773582,177.30254323196183,132.88154172115964,110.13694067796608,98.21775729825214,111.38986208508645,209.47169855967076,79.04243547954991,126.64668472974138,139.3543141568091,139.3543141568091,147.52632459146574,140.85583306718695,133.1734139922879,133.1734139922879,136.2848975261482,143.9324473249773,162.93652138962136,172.3859346936716,169.06585888964437,179.4901046729989,164.84203234676184,160.86365888327717,141.83330171640515,152.70021169851873,156.73995905604224,155.18681753645282,156.7050288687457,156.6871450903875,151.08409784422406,129.7955508003603,139.9000572623495,123.5233726369475
10,Arsenal,142.73588798744663,28,134.64109255129344,,164.89842186769513,170.40418269230767,151.07898827270918,,56.70374140401145,153.71219923942644,53.548357893268864,161.60239993880046,138.9382718481375,157.04299876543206,100.80322230014019,109.12744045031229,108.20471364852807,158.51175229124235,125.39175707547166,164.1567660505836,125.31172513540125,188.76149976213128,158.99743189847524,193.26180503451698,127.2226563786008,155.094920746634,155.24167487330178,97.41307290645224,231.3244135113413,144.23751781754828,205.18953264758497,105.78230664715717,138.5731043379072,125.05764856156979,125.05764856156979,124.50831157342067,119.2639930993923,120.25799484817946,120.25799484817946,127.60790833086759,120.17711519934856,129.28650782522513,128.77139988396542,126.51364742185444,127.69927530271302,131.78402577525654,145.05636899389302,153.5218220355509,159.31349749276333,159.6186473766182,158.10833982595994,163.0966647822767,147.87192697299685,159.9264239084745,151.75570937231305,164.7501887504771,156.53141973389762
11,Spurs,138.10284987136794,29,109.49312686344659,163.58549328020933,133.57821669054437,152.57335168244288,78.84930668375168,,131.04212637578613,178.89635688370265,244.50208425720618,108.79935019455252,143.27169280660374,123.82164078411404,99.725236747851,142.62500416270214,162.23378403895845,115.08597460220317,146.5896722222222,141.66737265834075,243.43667805813925,87.33977822580641,134.10190845739623,165.47671651304174,99.55861481670058,101.32897227626458,175.96965657311668,126.22766758088507,94.32893861602804,157.7267700668896,71.2797732421115,171.86738090865316,128.1869369293635,139.7541419327395,153.24024042890565,149.11042934624035,147.5601528669338,155.05554188366088,155.05554188366088,149.836060279005,143.79083482550493,130.07945145579697,131.1272221904054,131.68021875967517,134.6545074053796,158.60641429042767,149.3922099676117,144.70356403735133,153.1020210224911,145.26351145490415,138.54044472455814,127.29594114372105,133.77725603623415,127.14842772933946,125.8567699883141,121.14362972588258,132.900031164614
12,West Ham,135.12813891274817,29,116.99644136765635,151.035717655642,144.54938272093756,80.74169004416171,129.13544399185332,150.0070185302502,73.80545513293941,195.1624029920523,112.50977409767543,125.68301913580247,217.90181991629737,139.40880183153587,,149.88642874513613,99.1480140041695,124.47485995480493,143.16989434097417,129.68586466333272,99.31682195388588,179.8710817307692,209.4358229268376,117.8339036933146,116.98256647452584,152.7482211934156,104.11966707466338,118.8430098082526,159.68098447327037,189.5162161698372,100.9622609470468,86.10344289865682,128.74428238508352,121.54578467929737,128.90023223536576,123.56029746482206,131.05051898009552,145.84491496750286,144.07854551771712,156.75870778641658,140.75630962176945,142.7504905979577,145.66496979881967,130.9623105899922,124.28031394371722,124.28031394371722,129.2777561079894,147.65905759510076,146.55223155151904,142.18767690711095,146.0314029954581,146.83187718225437,136.66053186183495,128.36805878624037,140.3151108656608,137.64505994441433,126.53759689528788
13,Norwich,132.94931277064921,29,137.18400577282145,145.06589457163957,111.24281933872498,123.03070438707631,150.31789255852843,,137.24720999285586,145.6172697530864,96.88913463892287,142.88715670323538,63.04051861939631,120.62189193549186,164.17098180304467,151.246646971935,228.91547951247915,129.10345428015563,130.73973043754123,146.94716310191677,141.91993773288877,106.17580371690424,103.87864932680536,114.33832366255139,119.32193961174008,123.29852663629599,120.64792262969586,129.15516434798525,82.4709627564674,116.08751038681946,177.64841847826085,196.3189566835603,134.0147544369411,135.4202984336519,127.39083844486579,132.66489467228422,122.66653037767087,117.71719694049811,117.71719694049811,122.20449224219625,123.142721778671,145.1471125909304,142.84982885375044,154.13303082344126,158.5205760178454,154.81206867281944,147.30026146364764,126.46078976603535,123.99993466310129,122.09696952546777,118.15553011453096,114.61019426399879,118.44008770251234,114.87213994078934,115.16367106150066,124.88475087258746,137.05482254713152
14,Sheffield Utd,130.20711989087678,28,84.05891863207543,,203.22790758655796,135.89324506172835,101.329969551878,,112.12371410429488,103.6101208450412,134.55326404995535,83.57979410833067,178.5148303320138,181.30996126691505,84.82033044806514,78.61290631530353,82.8978838443396,158.13837437290965,153.63218839200758,157.98713372093022,125.81726937846041,158.6133678692109,112.33265321141833,101.46830956142277,118.94242400470678,224.38679798859673,46.94944600280503,200.35936673151744,145.28570558739253,156.4578695839488,136.29658957790997,84.5990148148148,123.37397929692929,131.78970353324263,131.78970353324263,111.84835128687142,118.95194883191898,132.2819474510918,132.2819474510918,127.73138350838686,123.56518108676393,114.95595105249463,127.38238109659113,123.23527410659011,119.34813618225928,126.18095933732518,139.51436959630973,144.42016449082283,134.97515368890836,129.1935262910249,140.26013700230266,127.11549977302677,134.07316625007783,139.56534164607353,148.73026831649454,151.62262924536174,128.32466538306474
15,Southampton,126.50492240464675,29,73.43020819397991,114.00139473684207,161.53618086199447,127.10596228384017,260.7190592334494,,191.12644663443658,114.87284818030444,194.1483401033973,123.1795907751384,124.03081187244327,68.6933384670487,83.53904143688912,100.65146253345226,99.69056291806017,110.84012106918232,94.03402676995488,160.63584627138175,43.26713651238895,67.02191068118891,74.29022002708024,156.0912401879162,126.94867478510025,148.85299584747273,160.93260864197526,151.23297021943569,121.83447154222763,141.4674778513238,184.9358877098511,89.53191338700057,154.6532086574238,161.5603153218112,174.91813954957038,168.52537453509436,168.01284946652825,136.00856267212808,136.00856267212808,118.07732847253686,115.70709753139482,99.96413466717199,97.90755638284598,92.90809219909791,108.23184349982007,101.51985934573672,95.91493403702617,91.68154355519619,99.22339674165183,104.70917141084271,102.74536300685787,122.35627502845561,136.3914516181634,144.31549353735463,141.87819981458924,151.5427353020477,141.65588822530236
16,Watford,126.45835739048319,29,104.71678876905911,206.45456604371236,111.22969063647487,60.75782535641545,98.27163452547917,,69.71849567910732,143.13802554027504,163.93084958847734,128.9245727283539,123.83756347319357,62.92519369786046,119.18327631578943,138.15615220145702,144.99247675715878,97.43774372230428,73.93758657587547,162.13593495328954,91.48954127358486,223.28861353868191,46.270150823045256,51.25888752455794,127.14903116809701,195.20187351332063,77.58771777681166,267.7264104523029,104.38285200668892,247.6763737734165,131.0672034244974,94.44533248472501,108.52483350170803,114.92837296357736,107.84108688770488,110.79023390301806,121.3035235891477,115.41245011787794,115.41245011787794,123.65658022399161,122.82626800085525,119.66987252896887,114.42206769462727,106.10540487840757,122.64052842097908,118.024905913945,132.21364947014914,115.7599284811302,108.0634524481725,116.9320265468761,122.44301630688126,120.12604572408576,127.53234520968924,137.21779540696318,169.95404311510626,170.60707182450633,153.81431498640706
17,Bournemouth,114.49073839935537,29,148.6036264649984,184.49874068767906,147.84996844563702,146.74674627850007,79.91285863905529,,113.1940343686354,66.10158058176098,104.46079770543243,65.08091949152542,98.45574999999998,96.91696058373363,58.31805505863644,149.23521991404007,67.36281913208741,102.97761133320935,164.2394543668512,104.68534788296857,109.32210367892972,137.50062515299874,143.75427706413018,86.45839052672953,101.73603597187508,153.26073483496873,55.45318993190659,135.9002346306685,144.82351212456916,125.05500040043015,94.21233420032462,134.1144841290234,136.8009958140842,123.05065483354463,109.71099766983689,95.91615617748492,87.86765679773492,90.70167378851464,90.70167378851464,81.55567723684814,95.41128379222799,89.22828736333717,95.54440267028447,106.508353398093,107.80308461463217,116.30375938468104,114.34799359117416,127.07990324651462,124.32669977876799,113.90946337960531,122.00536120493865,113.02720891376812,112.76047716004643,112.93868300345294,119.37145131573637,118.11750102047797,114.92645923615373
18,Newcastle,113.96069870064765,29,133.70060992217896,172.50793803418802,91.90179713648193,111.01721820088825,118.03853675314461,,68.69808643057502,140.06670451289395,96.48850856327306,67.98827640324961,222.6646519985974,113.278341493268,90.25415535515059,93.05448047107929,100.85010189688714,83.2312599568323,81.21478588426422,86.6862944312355,102.99362818930038,92.21992640499552,182.78951682921019,113.26642872492836,162.0844354345165,52.839373461349076,151.9948238289205,134.10190845739623,147.61604407727003,103.13323338989102,106.7377981525157,83.44139792430106,115.97736441290947,117.03838017802862,104.36847526620947,100.38288847733742,118.99079411028895,118.19742823364284,118.19742823364284,121.79010638773877,113.95473571410298,114.68166793637202,117.22216519530247,93.64718750958025,89.21517966590818,91.33842513826647,91.19933279391917,104.85590194930636,109.86176341065568,123.34003833569774,117.69888484071667,125.86575078065336,132.84608112272014,126.98383566406346,125.29496977489059,116.07053022789042,121.17086763838243
19,Burnley,112.68516634607819,29,128.45494798178245,84.62584531772575,117.66069876543206,89.74030909533072,199.00996510287845,,79.17433017135862,86.5305336041359,56.844795487106,169.95166169470318,123.03956028151771,93.20845897615706,24.715229423868312,77.29928867056856,77.81151879799963,69.07199265496646,132.90977036072888,74.91828005491269,141.4038871543265,78.03668486732786,206.3621235673352,151.00426452486457,134.51936857176247,83.33378580682307,143.11688816823894,83.11590300407327,144.0815853658536,154.21767691484297,162.95614182863505,100.75432782101164,116.44434940575134,109.45694700947693,104.82677203770697,113.54193252591881,119.09180772361663,101.45822336916308,101.45822336916308,92.3817065779147,90.84316575565346,94.33761964080242,77.52434146751295,79.1693764807148,76.12101332717408,95.56912294891713,95.69202231504367,117.11712310993293,130.77250175491594,131.04076812342154,132.4433524154066,132.728852584392,133.57538894051626,123.19529924026932,123.7308679719324,128.47033018141116,131.37375385044257
20,Crystal Palace,109.45476477416639,29,144.23699794077268,130.83987143584517,152.54055581103677,106.90204739364185,184.17129862788423,,65.41369382295717,98.24623612795459,51.84968149092932,111.38193730345907,57.94331590466924,123.75035838537018,148.5068336120401,124.82424516293274,36.879874975485386,59.478617695473226,81.70398653349233,267.8919520114032,80.11871919770772,91.49937376907926,111.01721820088825,117.95856279889253,84.40318978590541,141.2592325078616,128.92457272835392,105.6829893731023,157.020557000541,36.15266217870257,93.38429308631822,80.20530358812528,130.6840775053563,123.01895053655329,109.85391887906734,102.99414912780436,94.83436054630893,84.76420383922327,84.76420383922327,98.61306047073708,103.04272864323345,100.54776089065945,91.89720762266181,95.85731939413233,119.8809183318045,108.48289926274909,102.92875403044019,115.28497790134065,125.03163541857721,125.48150262731274,104.37604937672246,112.51035829849684,114.87429423250067,122.54151736577613,108.90720059574448,110.40405114581328,100.2283963258572
