,Teams,Threat allowed av adj,Matches,Threat allowed GW29 adj,Threat allowed GW28 adj,Threat allowed GW27 adj,Threat allowed GW26 adj,Threat allowed GW25 adj,Threat allowed GW24 adj*,Threat allowed GW24 adj,Threat allowed GW23 adj,Threat allowed GW22 adj,Threat allowed GW21 adj,Threat allowed GW20 adj,Threat allowed GW19 adj,Threat allowed GW18 adj,Threat allowed GW17 adj,Threat allowed GW16 adj,Threat allowed GW15 adj,Threat allowed GW14 adj,Threat allowed GW13 adj,Threat allowed GW12 adj,Threat allowed GW11 adj,Threat allowed GW10 adj,Threat allowed GW9 adj,Threat allowed GW8 adj,Threat allowed GW7 adj,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj,Threat allowed GW29 adj 6 - average,Threat allowed GW28 adj 6 - average,Threat allowed GW27 adj 6 - average,Threat allowed GW26 adj 6 - average,Threat allowed GW25 adj 6 - average,Threat allowed GW24 adj* 6 - average,Threat allowed GW24 adj 6 - average,Threat allowed GW23 adj 6 - average,Threat allowed GW22 adj 6 - average,Threat allowed GW21 adj 6 - average,Threat allowed GW20 adj 6 - average,Threat allowed GW19 adj 6 - average,Threat allowed GW18 adj 6 - average,Threat allowed GW17 adj 6 - average,Threat allowed GW16 adj 6 - average,Threat allowed GW15 adj 6 - average,Threat allowed GW14 adj 6 - average,Threat allowed GW13 adj 6 - average,Threat allowed GW12 adj 6 - average,Threat allowed GW11 adj 6 - average,Threat allowed GW10 adj 6 - average,Threat allowed GW9 adj 6 - average,Threat allowed GW8 adj 6 - average,Threat allowed GW7 adj 6 - average,Threat allowed GW6 adj 6 - average
1,Aston Villa,222.52797293387115,28,214.32441204593152,,306.86206054909906,458.7147819494829,338.4831541183158,,210.7564001728652,141.54018707639838,213.01087893823362,248.47966578262134,375.14759616774074,191.06478739422434,277.4992678284104,208.50599449157474,364.57964695368594,150.45703769782563,161.18334029153823,114.18674115493067,198.8269609621499,166.61837873965482,182.52865118975424,144.09740077113582,245.80978372622928,174.67756525995168,272.9608196697052,65.00053562539784,218.82511113118943,114.29418541549215,199.64555929208865,272.7023377527667,278.4468326520155,278.2279104673991,278.2279104673991,268.4975113396529,254.5696470426959,229.99991925534724,229.99991925534724,241.12373053127146,252.28469843380086,277.5461597697096,261.2090550889103,225.54834577620986,212.7353380696609,199.6232869252842,192.64201763329754,162.30018500597558,161.24024551819392,175.3446527573091,185.42645677481264,197.78209989273853,180.845792707029,186.89520269726822,181.92800013799425,174.23396273230415,190.57142481443998
2,West Ham,200.67081158304464,29,165.89132778603488,88.13302761697666,174.89828405679782,123.90519122115809,221.16685228504582,180.30823468382633,269.32172053564676,177.78169829719403,224.08502618077623,88.39460163469657,233.44999660698835,331.01890762590745,,83.58457961669035,190.57486824747937,172.22938066857805,208.42041761601556,233.6596629308234,252.80929937915892,316.1171902763857,138.4641619321983,209.0764117561142,319.62190167708326,284.49361391818763,111.48825294334833,163.2607619282913,153.67634103553027,263.0202094543095,261.86316470692975,178.73844929012225,159.05048627497328,176.28888506657526,191.2303301799448,199.42812053394118,193.5096889361976,195.55687965652137,220.67532514686823,189.71913499370885,191.85132998542304,183.20872240005667,203.21302506360985,203.2479694509157,190.21303474312427,190.21303474312427,228.96846985307351,220.28335213386,226.42452398178264,244.95810465862732,253.43042982318798,229.87692208388623,204.40085069253715,206.9362138764258,215.92684682612503,206.30039066443283,188.67452989308856
3,Norwich,193.23233629318844,29,132.29063807619144,126.73803646554559,349.5031839531497,148.18695636285688,161.7739680724625,,246.04297251644618,68.47493903352702,273.39120450981613,200.74264479457074,192.4213492583393,76.0159233351973,171.75434692507235,94.62517774645134,78.730914277061,205.3527498466539,215.4459316246922,73.91398081976104,155.9874467826959,289.0014335555691,393.55774916625563,82.85637349748494,485.6720264568759,278.9417105549258,250.43570565463807,131.6685798811732,269.3351311609766,144.87635682940362,150.92177521559387,155.07854612907926,194.08929257444206,183.45334273399797,207.89553740804308,183.10211421494657,190.4745130308603,176.18150557464946,176.18150557464946,163.80006797608715,168.15844109490786,135.71505938944867,136.48341023146253,140.3208406258547,139.97051687328198,137.3427001828859,169.73874281773885,222.20988196593797,201.79381924107648,246.8315017131071,281.0027900023012,296.7441664809582,270.52202420189224,249.81825453434575,260.15491842299883,204.3632098827852,183.71934914514415
4,Newcastle,183.73174879945435,29,35.340477820075066,64.63198847847835,271.3000134439336,321.4768047793208,318.76266549015844,,186.67741974478054,156.15392941009262,196.56587593259616,235.61839150762768,261.88872732987966,174.12164412359854,152.27980815717444,150.2771903095242,197.27632092591276,120.5705989041561,139.5085050201412,313.5601147663223,235.75362614099882,195.09983650157122,182.64205311596683,176.31450559526655,84.82596758324526,162.0833506325438,134.68725409383762,203.39557860956597,127.8075555496566,133.20753203623119,275.87931265307134,120.51366652844973,199.69822829279113,219.83380355779403,241.82278480014702,235.87584781076268,225.94450156918916,201.83766467476252,201.83766467476252,196.10472941016155,195.12527289340014,195.24368039228622,176.06904829170762,155.6723445734179,178.91208968053851,192.82439267784255,200.2948337098504,197.85578907485942,207.14644019004447,198.03268395056182,172.7865565949321,155.94216125373853,157.32478493840435,148.18570201068596,141.00120641751343,172.84343059581775,165.9151499118021
5,Bournemouth,178.83515548585436,29,131.3890676497555,155.1104968240608,324.3415305887722,234.92045020137428,168.77175141817258,,227.2066308284149,231.8205361352347,269.6655992691943,282.7262502820782,115.6935516789654,154.3600951930124,15.102635461330259,154.531764899033,213.076066183343,59.30705611730336,313.72614715684045,120.63963790799824,388.3343282674543,55.918287691642306,77.39914882309172,53.033996913372945,132.00065291152106,158.16347411910112,220.85388036807183,137.81351960996875,200.29191015351333,176.1042745121006,191.807076631556,222.10969129349937,206.95665458509168,223.69523266600493,242.78774974019382,235.85186968907814,215.98071993534333,213.57877723114999,213.57877723114999,178.22811133663583,165.34664946393556,155.9150606162937,118.67852825549788,151.68396083514372,146.06388462097473,208.2691667553287,191.83358722076358,169.22076766072175,168.1752577934,137.8876754191801,144.14164812103056,116.22824013780017,129.87744545752125,150.35957234592482,170.8712852790461,180.83902256571858,191.4967254281183
6,Southampton,158.71441677911832,29,530.6736164240424,338.411853849356,54.88610198149186,93.41923528661005,268.21199902708986,,104.25173580561292,205.76368093504638,69.307762378965,114.30241729941095,21.301482804004436,65.36750183812904,107.02447091656794,109.6832509732318,183.14862171191277,118.64518607423638,57.80023605636128,172.0800339104318,191.38358274451377,188.99222557633666,391.96561005140876,83.87556147644173,163.576737993626,125.69251013687025,159.16552799929278,207.66052994822678,166.02543515630626,109.40469793339904,105.54615916494166,95.15032114056581,231.64242372903382,177.49076781420118,132.64008590246934,142.54280512212253,130.52317970835495,96.71576351019478,96.71576351019478,97.17788602868728,81.16448103505154,100.13795759054283,100.86175238634706,106.94487792840654,124.73029994045699,138.7901519117813,152.0083143456321,186.81114573554808,181.01620830258233,198.64562529212648,190.91437132986619,185.54469553899605,188.65607960097773,150.9993837851273,155.25423986128683,145.5824767231728,140.49211189045536
7,Arsenal,158.29225126254573,28,198.2358974551642,,248.09140116793097,190.8927584474168,235.21466890977845,,257.38257984608924,131.80549507844768,49.12279588593298,62.41031697624918,113.76246963771067,190.67431359135324,44.24898912125918,95.18823327253791,63.36947708006208,167.812236748944,107.1650222222937,313.83618559121413,121.76383327016275,143.1672643738183,274.91563957648884,98.92143393488237,83.88821451268744,98.9063502169388,199.33246859288525,325.8679882506296,214.08518017741378,193.36716161038933,146.48562051882988,62.26903928377014,210.2704668174712,185.41828322259934,185.41828322259934,154.47143585731905,141.61638772236802,134.19299516929718,134.19299516929718,98.67073004849216,92.56785308084052,94.94229994652869,112.50928657531118,111.40971200607503,131.93669067271853,144.85583136420243,152.85233654774916,188.11003029715366,176.62822982814336,172.74876187654232,136.92712264749642,149.85522853461683,180.30534918075205,170.16693928090623,185.9078938934907,196.34079489451446,190.234576405653
8,Brighton,156.88511288760736,29,85.87187400956617,335.60010087364617,183.2930894843303,32.11639110264656,158.8028683209841,,235.87309786275208,118.57461485126933,184.20257505058208,127.08791854503436,61.41372555574227,108.96883879477826,183.25301607853447,74.93054785519094,179.21115967845975,102.67615942633789,96.32084071484647,311.7657569202576,318.60821749843586,59.90674767453896,95.42687910958544,362.4691193136083,50.53789382449668,325.5381284945309,179.67563344750033,36.51507080565117,129.58234326609067,211.95970215722267,122.47303068203401,77.01293234195924,171.92623694232088,177.37669374927142,152.14377277876073,142.77624428887808,147.65913336439402,139.35346177669305,139.35346177669305,130.58344814599013,123.30943697997706,122.47753441795669,118.40890789817394,124.22676042469129,158.02624677893786,180.58544701558807,178.08148031881277,164.11743355733373,207.41626020521213,199.7857690568205,202.08116431919936,178.92573364404345,175.02712083256213,180.71969819197966,155.63479533258206,167.6239848088383,126.20311878340969
9,Watford,149.22661720978826,29,132.3036227110466,14.288610436448728,218.4316596362002,82.94729246991952,269.42025786748025,,127.84471106516156,186.62125639774246,39.30270056320392,116.48364087007876,70.99656601776918,226.30536427053343,133.60354103997648,112.3955636578761,32.56894228995076,203.215623225604,199.26613543623776,306.1929660294933,81.76485713226651,166.56667156161845,110.36663604237191,94.1694690627966,39.06439634100252,109.97244842536125,372.714653931096,107.01325536457169,170.78929124507312,434.0830568203237,75.75296904940396,93.1257401232516,140.87269236437612,149.92563131215877,154.09464633328466,137.1033098722644,135.11152213023934,127.92570653074823,127.92570653074823,128.8855115265507,116.51456273657298,115.39226969103078,129.84760008361832,151.22586165336307,164.54046194652304,155.90068129523806,164.92919927919513,177.89548157126535,159.72112254413076,133.02083269492488,100.3174130942362,148.8090458940411,138.88347652786666,148.95391906165023,205.60618368790472,211.7209458059716,208.9131610889533
10,Crystal Palace,147.64131720365526,29,51.510650823905564,194.53393367118144,26.91605941883382,257.735447957298,96.17097345319938,,114.52928176008677,139.21296353670488,179.72250964768105,227.12603379095432,150.36268958124342,96.70180106571058,116.89108432973913,277.49657084295995,180.2023059236388,42.0440795905586,204.28525099030358,118.63367309628966,255.23563546131498,87.16994312451011,167.15305553283778,225.8178000508457,150.06372437597068,93.74425906330984,165.93031315605353,110.83859407797102,35.27069911710571,198.7911544944328,204.62846281214897,112.8792481592128,123.5660578474175,138.18310996621736,135.71453929563398,169.08286835765406,151.18740862831166,151.2758798970635,151.2758798970635,151.66951365867223,174.71678154304809,174.79674758904105,143.94975522230843,152.93684879048507,156.5921607955816,179.6495859841776,147.92848136443595,145.75360629930248,176.38255970935032,167.34563860696147,163.1974029347982,148.31318255058795,152.2579577094981,130.27756497354275,125.77312404747393,134.86724712017033,138.05641196948747
11,Spurs,147.30931066868774,29,355.24067219671014,254.35270071582963,140.27003655884965,199.0618435975664,183.02078997143937,,187.54878595951126,274.28965915006194,121.06311353947486,153.1570851557864,35.28622437381429,118.65741031347179,113.54113047169243,68.08205707867116,115.91932497484171,128.80699824715356,126.26657418096326,80.32181722021514,102.48090454209121,105.07599284676277,151.94258348185937,97.11854286471679,294.7193468346263,117.76646705542568,114.42549604673263,89.22014975982047,205.5024170229514,84.15098917924722,180.36089199430376,74.32000405735377,219.9158048333177,206.42396932554303,184.20903812948393,186.35687956230674,159.0609430250147,148.3337130820201,148.3337130820201,135.9991038340503,101.63117015548517,100.77387206137963,96.71552424327415,111.87891587779897,105.48965036225621,103.64627937398934,109.81193533533796,115.81581175317422,110.5344025227681,138.60986463171193,144.85063960424702,146.8414048550206,144.19876434053023,153.12540326404556,150.96414431646727,131.9044018430802,124.66332467673487
12,Burnley,142.00733419438623,29,120.05274830869723,183.3392944276038,215.51765878624275,70.30436583317058,157.43737186113307,,123.55365538536819,211.72551497879724,220.17426523428296,203.14135145758453,186.1135958204144,134.1698703244944,16.99083936654932,177.90674423415433,253.1458156931738,143.84014470474438,144.76351455422164,103.48714189267001,57.593398998852884,285.3615598151089,75.12337474037753,74.11348351188197,121.56985342692293,106.2357549525585,105.49946366539854,183.6643802606396,83.2617821563003,125.81645478181002,124.14421184692611,110.16508061711934,145.03418243370263,160.31297687871927,166.45213867983247,164.38942079172276,183.69095912293005,179.81304220015696,179.81304220015696,162.05257286368712,156.4161110729133,161.91136948272845,152.02783502392177,145.13615481288966,140.0223667409189,146.7894600129695,164.6985959431286,135.02818911766255,123.40707891885216,119.54146873096903,119.99957090761711,127.98391501870806,111.03438509296318,112.39078632895031,121.00794820727167,121.43700794393885,122.09189555469897
13,Sheffield Utd,136.74779524826684,28,358.931089925467,,115.42237050361388,138.86650662604865,149.91457242739025,,161.2918783051266,130.6955683621578,109.86901000745274,240.61172761050048,60.98436675396454,68.42049873425916,46.629609407375234,113.01170044993005,77.1149738702503,87.34099546783887,121.63569979525799,116.05713333806543,159.52284369488245,74.99220682504819,307.09582640021193,101.01252314957833,165.50638100983446,136.67763924958518,115.0786197907901,159.70756671282177,175.26603064699222,62.62363078947547,37.38528870439749,237.272008393155,175.85366435830068,134.34331770529832,134.34331770529832,155.2082105564461,142.22785391109872,128.6455082955769,128.6455082955769,109.53513014595165,106.58781882724702,101.12881280437995,75.58369078060302,85.69224628748526,93.63168538811965,112.44722443603752,106.11064216522387,144.44078425355085,146.71937220050737,154.03115240293678,157.46790338819008,150.060532737508,164.1797593854703,142.20812675993366,135.80997803324985,114.45646264901036,131.22219083960533
14,Everton,130.0089085342434,29,154.2136365742745,104.68893868970314,142.06034715849358,134.10033162207876,105.42111328986162,,97.28116541622417,204.53657702271718,166.89835787898616,100.91652835845228,267.0597112637137,59.15258317591966,94.68342388530154,129.57589502020232,95.90000343857645,167.54297832418646,202.98655032553552,238.5902014473903,75.19266829126694,25.706268304530433,125.48513365057347,55.75143092302256,58.48909805614726,174.496173358963,56.10352593550483,173.60070270380086,189.17943080306634,99.45680825354746,136.49229985438188,134.6964644666354,122.96092212510597,131.34807886651308,141.71631539806023,134.85901226472004,157.0189088716592,149.3074871860022,149.3074871860022,148.87453026418174,136.3810832637626,124.548024190361,135.65243251798339,124.97357236162033,154.8798420735321,151.63138280785967,134.31977835524768,139.25063339058053,120.61870882371989,96.53580011215517,85.85346209741728,82.67193837145693,107.32101077133534,117.93672696341747,125.22095651850496,138.2214901515441,131.58820533615616
15,Leicester,118.99981104700295,29,78.13702283740513,77.89311725753647,136.28058272992246,108.20367913523243,61.34057843116082,,141.1708474047123,162.68884624730921,248.20700732153372,127.64971222343847,94.97328928101307,261.4374218265401,201.62237704408003,153.23930809489,144.24886626791314,22.905753573499556,113.67420754734161,85.41776006974212,110.1036404653087,68.44772768596843,46.32765515135053,190.3539942782631,259.976758547432,8.857881479688364,141.2457207674366,96.25041640743662,68.03680561425963,72.26133095670437,93.21190157279933,76.83031014316704,100.5043046326616,114.59627520097895,142.9819235449785,141.54344512723117,139.33838015152793,172.6878540507578,172.6878540507578,182.76310899065243,181.18818596524923,163.86182912297915,146.40450268132267,149.5213223923774,120.18471209957772,104.93158933644918,90.7996592682956,74.47945741553515,102.38749753299574,126.7712560330108,114.01127626800185,119.20162298502316,123.8354044386012,127.45359618241939,107.77148562882627,79.97734279972082,91.3060809103006
16,Chelsea,112.46359743264004,29,40.55630699368281,195.0576277814121,28.081163330713096,59.46678637133199,147.440326031211,,60.419837400393696,146.1184831121894,84.8588436170174,177.19320981897374,83.51424815052833,99.40728376356576,29.220617461212445,148.6997968580383,185.63602847745338,100.030080945557,136.0458802251704,69.74962194627581,74.1006510327434,169.08660656486944,234.28635207353855,32.248329380893004,128.69506772082912,67.08226864212546,71.43437687240474,143.70761986697894,115.57220876357485,142.31301821320938,84.32797377703821,207.09371035362912,88.50367465145744,106.09737067120854,87.73090664380943,112.58291439185287,116.59082468838558,108.58531764377805,108.58531764377805,103.38544765391451,103.81566661155598,120.61186408829532,107.75134260939252,116.50661462183287,111.56367098561789,119.04367658087305,122.44147819867824,130.54986546469243,119.25290687058178,118.02777145319156,117.58321256916649,117.13883354244338,112.90900242612831,93.12331187446769,111.46742667985374,104.07291102255526,127.40815130780588
17,Man Utd,108.53621330266307,29,33.89591562191969,222.54515702517173,33.82608238351842,71.46597354013481,145.74173984129237,,75.06243500293961,139.1576471719033,36.398052646191395,207.1513482129314,40.46341419309547,171.83904633766568,182.67785049898137,25.38290436312657,116.72807029379803,57.27743378073739,155.5960167283796,196.6505809371413,124.65847593051724,234.52121906670232,117.73177040529671,71.57899753494432,106.40708356730445,182.5246078888118,62.387418548558664,40.79147389196613,77.96167272545512,104.62326206333638,29.047660104577187,83.45687547083087,97.08955056916278,114.63317249416006,83.60865509766332,112.49619940256548,107.32910617805891,111.6786572607878,111.6786572607878,129.61455984346142,110.65210270866531,124.04043898326643,99.06145324456742,118.25022033378144,122.38547610036072,112.71558033895003,147.57196612287933,147.73924947479577,150.12284343383024,141.9246879069844,139.57035906559614,129.1918495019364,96.90355863948035,90.27520902617341,95.7825864475721,82.8893492037842,66.37806046745406
18,Wolves,107.60450670135971,29,33.62191926663781,205.0542550046667,47.47520005399649,46.876880647373724,103.93216243331089,,111.46084843316959,79.72004462061987,30.18876030539861,122.77096852691852,103.42025380758334,111.25106511968848,166.57067542734328,104.4764020075217,105.45556724745683,60.9566055070629,162.67062994267724,107.91130723950675,54.987741782416634,109.70236053311365,98.96836825141611,139.48458015006796,90.88270165652258,125.15687372643586,152.33573855123984,233.2014352203354,135.37073771786976,128.59898537992555,99.71839226028047,48.309233518875,91.40354430652587,99.0865651988562,69.94231608231154,82.49161082779854,91.91550635450015,93.1353234688964,93.1353234688964,102.32029463459202,106.44635419907566,118.99082202275201,108.68842818610942,118.56349087529173,118.00686456192811,99.40970895444035,100.28070204203898,99.19950220936555,112.28749798319971,100.32284326884063,103.19710434999547,119.42177047813266,140.00494959266962,146.07201117041188,144.25774537538817,145.73036047601448,132.922420441421
19,Liverpool,104.66079865535352,29,158.88555563801174,326.6437263200287,77.5029096713845,50.4830460663705,72.56060438719597,106.6596712196967,175.25796703472716,123.89822100531076,116.7951010572122,70.08454147213062,34.378710344477135,10.749512929695602,,116.0195231697317,18.962645360457646,160.4833571765218,94.44117082852226,158.47895645929594,83.29968167550763,86.17407027688671,145.11838053285032,69.06499991473356,8.725342574634588,131.8245091133122,93.7378974211344,47.62783428131107,64.6086644618302,104.82083613296328,216.9234754681017,110.95224901121514,132.12258555044804,134.85132078323392,101.06040323078093,107.60910179508555,110.87601769604555,104.51236868892575,88.5273423072589,78.65426832975967,61.16500572228415,68.44638174216908,72.50581996823436,93.18919432070417,105.28088911167282,105.28088911167282,100.30664696286533,121.33260282493079,106.09620994796607,91.81023857231814,87.36783068132083,89.10753330559197,82.68316063966269,69.264874627826,75.22418066419762,109.92386947977548,106.4451594627593
20,Man City,104.0558902587896,28,151.6643273368018,,64.25741987769665,10.879093384388339,44.38989037552969,,85.58291403861969,90.67167461102221,130.79813631896366,78.63363391158919,136.22059694600088,226.25734761862407,90.07644081628251,29.951616528334586,142.5020974243131,50.91631625774551,34.07594511283599,62.36515976484635,92.36920265739343,93.21346726383368,124.90773490266602,97.88009809392706,112.72169168199065,214.8864885338553,39.53296905757458,229.22374561273668,93.72652389682494,232.23104036762922,7.87286764446486,145.75648720961763,74.57421993734307,71.09652143437005,71.09652143437005,73.49255710668547,94.38280770028756,124.69405057413661,124.69405057413661,125.44297170374709,115.32296202329917,117.27362220752406,112.65406926521678,95.62996062635595,68.31459598405966,68.69672295757816,79.240364746828,76.30797099322017,84.1352679659171,97.24289239410955,122.66311385561103,113.85707492230789,136.52545464712506,131.32858614615154,153.72040985843523,136.24560585218092,124.72393896480799
